
-----------------------------------------------------------
benchmark results:
Execution time (sec)
name	v1	v2
app_answer	0.072	0.076
app_aobench	37.307	35.671
app_erb	0.847	0.899
app_factorial	0.627	0.637
app_fib	0.324	0.353
app_lc_fizzbuzz	22.242	22.866
app_mandelbrot	0.911	0.930
app_pentomino	9.632	9.586
app_raise	0.183	0.192
app_strconcat	0.702	0.680
app_tak	0.461	0.465
app_tarai	0.393	0.390
app_uri	0.432	0.452
array_sample_100k_10	0.052	0.058
array_sample_100k_11	0.057	0.065
array_sample_100k__100	0.090	0.112
array_sample_100k__1k	0.464	0.629
array_sample_100k__6k	1.691	1.695
array_sample_100k___10k	2.359	2.334
array_sample_100k___50k	8.478	8.437
array_shift	3.703	3.729
array_small_and	0.058	0.062
array_small_diff	0.060	0.065
array_small_or	0.067	0.081
array_sort_block	4.445	4.462
array_sort_float	1.481	1.471
array_values_at_int	0.053	0.057
array_values_at_range	0.307	0.317
bighash	1.266	2.723
dir_empty_p	0.357	0.362
erb_render	0.988	1.007
file_chmod	0.358	0.370
file_rename	1.257	1.256
hash_aref_dsym	0.287	0.308
hash_aref_dsym_long	3.711	4.021
hash_aref_fix	0.285	0.314
hash_aref_flo	0.072	0.086
hash_aref_miss	0.390	0.446
hash_aref_str	0.340	0.423
hash_aref_sym	0.286	0.311
hash_aref_sym_long	0.422	0.447
hash_flatten	0.219	0.247
hash_ident_flo	0.073	0.087
hash_ident_num	0.283	0.317
hash_ident_obj	0.279	0.313
hash_ident_str	0.282	0.297
hash_ident_sym	0.278	0.312
hash_keys	0.130	0.186
hash_long	0.574	0.779
hash_shift	0.054	0.117
hash_shift_u16	0.092	7.073
hash_shift_u24	0.093	7.100
hash_shift_u32	0.093	7.062
hash_small2	0.536	0.783
hash_small4	0.660	1.086
hash_small8	1.089	2.589
hash_to_proc	0.048	0.054
hash_values	0.128	0.197
int_quo	0.921	0.932
io_copy_stream_write	0.209	0.216
io_copy_stream_write_socket	0.402	0.444
io_file_create	1.331	1.434
io_file_read	1.090	1.114
io_file_write	0.749	0.765
io_nonblock_noex	1.998	3.130
io_nonblock_noex2	1.505	1.530
io_pipe_rw	1.095	1.088
io_select	1.216	1.224
io_select2	1.508	1.555
io_select3	0.143	0.151
loop_for	0.995	0.991
loop_generator	0.487	0.488
loop_times	0.871	0.897
loop_whileloop	0.393	0.393
loop_whileloop2	0.113	0.118
marshal_dump_flo	0.271	0.427
marshal_dump_load_geniv	0.383	0.819
marshal_dump_load_time	1.204	2.011
require	0.826	0.980
require_thread	91.672	53.126
securerandom	0.191	0.199
so_ackermann	0.401	0.394
so_array	0.650	0.653
so_binary_trees	4.048	4.100
so_concatenate	2.883	2.711
so_count_words	0.151	0.179
so_exception	0.229	0.236
so_fannkuch	0.862	0.906
so_fasta	1.322	1.342
so_k_nucleotide	0.908	1.104
so_lists	0.393	0.413
so_mandelbrot	1.975	1.897
so_matrix	0.413	0.416
so_meteor_contest	2.076	2.262
so_nbody	1.179	1.121
so_nested_loop	0.825	0.800
so_nsieve	1.323	1.435
so_nsieve_bits	1.657	1.619
so_object	0.502	0.527
so_partial_sums	1.694	1.676
so_pidigits	0.819	0.829
so_random	0.495	0.506
so_reverse_complement	1.120	1.140
so_sieve	0.441	0.428
so_spectralnorm	1.537	1.416
string_index	0.289	0.312
